단어,빈도,비율(%)
2018년,78,1.09
여전히,77,1.07
항상,76,1.06
상품은,76,1.06
시간에,76,1.06
배송비를,76,1.06
요청했는데,76,1.06
나쁜,76,1.06
했는데,75,1.05
못받았어요,75,1.05
반품하고,75,1.05
모든,74,1.03
못했는데,74,1.03
우체국에,74,1.03
않아,74,1.03
구매를,73,1.02
구매하고,73,1.02
거의,71,0.99
되어,71,0.99
도착했고,71,0.99
이제,71,0.99
매장에,70,0.98
않는,70,0.98
일치하지,69,0.96
돌려받고,69,0.96
하지만,69,0.96
다릅니다,67,0.93
바랍니다,67,0.93
기한이,67,0.93
하는데,65,0.91
전에,65,0.91
응답이,65,0.91
제대로,65,0.91
구입한,64,0.89
아직까지,64,0.89
2개만,64,0.89
나와,63,0.88
통해,62,0.86
다시는,62,0.86
안녕하세요,62,0.86
결제했는데,61,0.85
여러,61,0.85
웹사이트에,61,0.85
않았으며,61,0.85
해야,61,0.85
3월,60,0.84
권장하지,60,0.84
2017년,60,0.84
이런,59,0.82
라니스터,59,0.82
있나요,59,0.82
많이,59,0.82
맞지,58,0.81
훨씬,58,0.81
제품과,57,0.8
못한,57,0.8
집에,57,0.8
못해서,57,0.8
시계를,57,0.8
키트,57,0.8
있는지,56,0.78
인해,56,0.78
의자,56,0.78
번째,56,0.78
받을,56,0.78
구매했습니다,56,0.78
왔는데,56,0.78
카트리지,56,0.78
대로,56,0.78
왔고,55,0.77
요청했습니다,55,0.77
있었는데,55,0.77
받고,55,0.77
요청합니다,54,0.75
누락된,54,0.75
때문입니다,54,0.75
색상이,54,0.75
웹사이트에서,53,0.74
응답하지,53,0.74
연락이,53,0.74
3개를,53,0.74
마감일이,52,0.73
하나,52,0.73
다시,52,0.73
불만족스럽습니다,52,0.73
사진과,52,0.73
하나는,52,0.73
하나가,51,0.71
낮은,51,0.71
그런데,51,0.71
비용을,51,0.71
빨리,51,0.71
오늘까지,50,0.7
평가할,50,0.7
사지,50,0.7
원합니다,49,0.68
답변이,49,0.68
상품과,48,0.67
개만,48,0.67
올바른,48,0.67
같습니다,48,0.67
않았는데,48,0.67
들어,48,0.67
물건을,48,0.67
불만을,47,0.66
제품입니다,47,0.66
언제,47,0.66
매장을,47,0.66
시계,47,0.66
불구하고,47,0.66
어디에,47,0.66
주문,47,0.66
필요합니다,46,0.64
같아요,46,0.64
않으며,46,0.64
있지만,45,0.63
되지,45,0.63
메시지를,45,0.63
2개의,45,0.63
오늘,44,0.61
모르겠습니다,44,0.61
불만,44,0.61
반품,43,0.6
개의,43,0.6
지금까지는,43,0.6
있지,43,0.6
개를,43,0.6
깨져서,42,0.59
하나요,42,0.59
회사에서,42,0.59
지연,42,0.59
파손되어,42,0.59
해결책을,42,0.59
취소를,42,0.59
않았다,42,0.59
1개,42,0.59
안되네요,42,0.59
일어났는지,42,0.59
배송은,42,0.59
포장이,42,0.59
12,41,0.57
지났습니다,41,0.57
없네요,41,0.57
많은,41,0.57
매장,41,0.57
터무니없는,41,0.57
적이,41,0.57
동일한,41,0.57
포함된,40,0.56
그것이,40,0.56
조치를,40,0.56
서비스,40,0.56
하지,40,0.56
고객에,40,0.56
2개가,39,0.54
누구에게도,39,0.54
나온,39,0.54
만족스럽지,38,0.53
광고된,38,0.53
가지,38,0.53
지불했습니다,38,0.53
정품이,37,0.52
동안,37,0.52
마감일은,37,0.52
따르면,37,0.52
못받았는데,37,0.52
수령해야,37,0.52
키트를,36,0.5
받았지만,36,0.5
2월,36,0.5
상자에,36,0.5
좋아하지,36,0.5
오지,36,0.5
상자가,36,0.5
정시에,36,0.5
않음,36,0.5
집에서,35,0.49
수도,35,0.49
보낸,35,0.49
홈페이지에,35,0.49
기다리는,34,0.47
광고,34,0.47
요청한,34,0.47
오랜,34,0.47
원래,34,0.47
깨지기,34,0.47
표시되어,34,0.47
부품이,34,0.47
하더군요,34,0.47
있으며,34,0.47
안타깝게도,34,0.47
없어요,34,0.47
금액을,33,0.46
정보를,33,0.46
부족합니다,33,0.46
플라스틱,33,0.46
경우,33,0.46
그렇지,33,0.46
그들이,33,0.46
송장에는,33,0.46
않아요,33,0.46
targaryen,33,0.46
추적,33,0.46
우편으로,33,0.46
배송하지,32,0.45
누락되어,32,0.45
광고에,32,0.45
가게에서,32,0.45
보내지,32,0.45
hp,32,0.45
지키지,32,0.45
지불하고,32,0.45
예상,31,0.43
지불했는데,31,0.43
아쉽게도,31,0.43
작은,31,0.43
배송되었다고,31,0.43
커튼,31,0.43
우리는,31,0.43
아니고,31,0.43
보냈지만,31,0.43
카트리지가,31,0.43
이유를,31,0.43
나머지,31,0.43
매장에서는,31,0.43
취소하고,30,0.42
시간,30,0.42
1개가,30,0.42
것처럼,30,0.42
달이,30,0.42
4개,30,0.42
존중이,30,0.42
구매에,30,0.42
카트리지를,30,0.42
현재,30,0.42
4월,30,0.42
사항을,30,0.42
마세요,30,0.42
했고,29,0.4
교환,29,0.4
늦게,29,0.4
보입니다,29,0.4
안왔어요,29,0.4
포함되어,29,0.4
않았어요,29,0.4
연락할,29,0.4
것이라고,29,0.4
계속,29,0.4
걸렸습니다,29,0.4
안타깝습니다,29,0.4
당신의,28,0.39
송장,28,0.39
이는,28,0.39
싶은데,28,0.39
03,28,0.39
게다가,28,0.39
있다,28,0.39
않는다,28,0.39
고객,28,0.39
12월,28,0.39
전화를,28,0.39
그런,28,0.39
안에,28,0.39
그것은,28,0.39
램프,28,0.39
아니라,27,0.38
그래서,27,0.38
가장,27,0.38
마감일을,27,0.38
기한을,27,0.38
지금은,27,0.38
필름이,27,0.38
그는,27,0.38
선물로,27,0.38
있다고,27,0.38
휴대폰,27,0.38
사용할,27,0.38
주지,27,0.38
정보가,27,0.38
결제한,27,0.38
도착했지만,27,0.38
대신,27,0.38
것이다,26,0.36
연락도,26,0.36
도착할,26,0.36
중입니다,26,0.36
않으면,26,0.36
위한,26,0.36
정품,26,0.36
회사에,26,0.36
시계가,26,0.36
내에,25,0.35
다르게,25,0.35
응답도,25,0.35
환불받고,25,0.35
02,25,0.35
했어요,25,0.35
기다립니다,25,0.35
않았기,25,0.35
이번에는,25,0.35
지불한,25,0.35
필요해요,25,0.35
배송됐어요,25,0.35
시도했지만,25,0.35
만족하지,25,0.35
못했기,25,0.35
검정색,25,0.35
없음,25,0.35
상품의,25,0.35
이번,25,0.35
해결하기,25,0.35
손상된,25,0.35
송장에,24,0.33
없어서,24,0.33
광고에는,24,0.33
없다고,24,0.33
제공하지,24,0.33
돼요,24,0.33
부분이,24,0.33
모델을,24,0.33
해결을,24,0.33
보냈고,24,0.33
불완전하게,24,0.33
구매하는,24,0.33
상품에,24,0.33
우체국,24,0.33
키트가,24,0.33
불량으로,24,0.33
교환하고,24,0.33
평가를,24,0.33
시계는,24,0.33
들어있는,24,0.33
6월,24,0.33
표시된,24,0.33
싶다,24,0.33
취소했는데,24,0.33
색상으로,24,0.33
사람이,24,0.33
상태가,24,0.33
다음,23,0.32
일어나지,23,0.32
펜던트,23,0.32
가치가,23,0.32
소비자에,23,0.32
넘게,23,0.32
04,23,0.32
일부,23,0.32
가짜,23,0.32
구매한지,23,0.32
그러나,23,0.32
방법이,23,0.32
커버가,23,0.32
아침이에요,23,0.32
받았기,23,0.32
커튼을,23,0.32
크리스마스,23,0.32
감사해요,23,0.32
상자,23,0.32
있었고,23,0.32
아쉬운,22,0.31
배송됐는데,22,0.31
연락하지,22,0.31
벌써,22,0.31
잘못왔어요,22,0.31
채로,22,0.31
다르고,22,0.31
답변도,22,0.31
홈페이지에서,22,0.31
가능한,22,0.31
제품으로,22,0.31
가서,22,0.31
11,22,0.31
상자를,22,0.31
설명이,22,0.31
손상되어,22,0.31
걸립니다,22,0.31
01,21,0.29
이번이,21,0.29
5개,21,0.29
가게,21,0.29
서비스가,21,0.29
금액이,21,0.29
했지만,21,0.29
1개를,21,0.29
받기를,21,0.29
배송일이,21,0.29
도착해서,21,0.29
요청했지만,21,0.29
도착한,21,0.29
연락했는데,21,0.29
직접,21,0.29
적혀,21,0.29
외에도,21,0.29
배송비가,21,0.29
오늘은,21,0.29
샀어요,21,0.29
가지고,21,0.29
같이,21,0.29
보니,21,0.29
불만사항을,21,0.29
주문하고,21,0.29
해요,21,0.29
5월,21,0.29
점은,21,0.29
것보다,21,0.29
매장의,21,0.29
넘었는데,21,0.29
마감일,21,0.29
있다는,21,0.29
명시되어,21,0.29
배송완료라고,21,0.29
설명을,21,0.29
심지어,20,0.28
못했다,20,0.28
가격이,20,0.28
못받았고,20,0.28
이것은,20,0.28
고객을,20,0.28
구매가,20,0.28
진행해야,20,0.28
파트너,20,0.28
요청을,20,0.28
원한다,20,0.28
어제,20,0.28
판매자에게,20,0.28
세트를,20,0.28
어떠한,20,0.28
배송되었으며,20,0.28
마감이,20,0.28
웹사이트에는,20,0.28
매장이,20,0.28
구입하고,20,0.28
이렇게,20,0.28
배송될,20,0.28
그냥,20,0.28
이내에,20,0.28
따라,20,0.28
사용,20,0.28
주문은,20,0.28
타이어,20,0.28
배달하지,20,0.28
표시됩니다,19,0.27
좋겠습니다,19,0.27
17,19,0.27
감사합니다,19,0.27
처음으로,19,0.27
없으며,19,0.27
만족도,19,0.27
문제는,19,0.27
해서,19,0.27
시간을,19,0.27
결국,19,0.27
되었습니다,19,0.27
집으로,19,0.27
마감,19,0.27
가게를,19,0.27
약속한,19,0.27
배송되었어요,19,0.27
의견을,19,0.27
제품도,19,0.27
구멍이,19,0.27
침대,19,0.27
커버를,19,0.27
커버,19,0.27
발생한,19,0.27
보호,19,0.27
마지막,19,0.27
1월,19,0.27
않네요,19,0.27
않기,19,0.27
홈페이지에는,19,0.27
파손된,19,0.27
불량,19,0.27
이메일에,19,0.27
송장을,19,0.27
8월,19,0.27
명시된,19,0.27
도착했을,19,0.27
내용과,19,0.27
알았는데,19,0.27
lannister에,18,0.25
급하게,18,0.25
필요한,18,0.25
케이블이,18,0.25
제공되었습니다,18,0.25
하나를,18,0.25
없기,18,0.25
생각합니다,18,0.25
받았다고,18,0.25
6개,18,0.25
반품이,18,0.25
구매할,18,0.25
예정입니다,18,0.25
회사는,18,0.25
방법을,18,0.25
웹사이트를,18,0.25
왔네요,18,0.25
실제로,18,0.25
모델이,18,0.25
설명된,18,0.25
시트,18,0.25
아니면,18,0.25
비싼,18,0.25
교환이,18,0.25
최대,18,0.25
없었고,18,0.25
장치에,18,0.25
있었는지,18,0.25
받기,18,0.25
100,18,0.25
커튼이,18,0.25
쉬운,18,0.25
메일을,18,0.25
한달이,18,0.25
lannister에서,18,0.25
속상합니다,18,0.25
주문에,18,0.25
예정보다,18,0.25
제공되지,17,0.24
오늘이,17,0.24
기대에,17,0.24
할지,17,0.24
아침입니다,17,0.24
걸리고,17,0.24
없었어요,17,0.24
회사의,17,0.24
하려고,17,0.24
하는,17,0.24
말도,17,0.24
있도록,17,0.24
구매해서,17,0.24
제공된,17,0.24
단지,17,0.24
안됐네요,17,0.24
하고,17,0.24
못합니다,17,0.24
도착하여,17,0.24
일찍,17,0.24
서비스를,17,0.24
동일하지,17,0.24
문제,17,0.24
의자를,17,0.24
컬러,17,0.24
잘못되었습니다,17,0.24
10,17,0.24
관련이,17,0.24
포장,17,0.24
달라고,17,0.24
30일,17,0.24
불행하게도,17,0.24
권리를,17,0.24
배송도,17,0.24
귀하의,17,0.24
도착하는,17,0.24
지금,17,0.24
보냈어요,17,0.24
이미지와,17,0.24
20일,17,0.24
결제가,17,0.24
하는지,17,0.24
01개만,17,0.24
허위,17,0.24
어렵습니다,17,0.24
듣지,17,0.24
브랜드,17,0.24
일입니다,17,0.24
연락하려고,17,0.24
못했으며,17,0.24
깨진,17,0.24
설명에,16,0.22
나는받지,16,0.22
미치지,16,0.22
지연에,16,0.22
정확한,16,0.22
입장을,16,0.22
일어나고,16,0.22
이틀,16,0.22
답장을,16,0.22
못하고,16,0.22
3개만,16,0.22
긁힌,16,0.22
포장으로,16,0.22
온라인으로,16,0.22
약한,16,0.22
판매자가,16,0.22
도착했으며,16,0.22
지났는데도,16,0.22
이를,16,0.22
완료되지,16,0.22
걸렸고,16,0.22
알았습니다,16,0.22
설명에는,16,0.22
아니며,16,0.22
모르겠지만,16,0.22
기대했던,16,0.22
불가능합니다,16,0.22
포장을,16,0.22
전체,16,0.22
아니었습니다,16,0.22
온라인,16,0.22
끔찍합니다,16,0.22
00,16,0.22
재질이,16,0.22
문제에,16,0.22
지났고,16,0.22
포장되어,16,0.22
구입했고,16,0.22
배송비,16,0.22
판매,16,0.22
4개를,16,0.22
수건,16,0.22
긴급한,16,0.22
며칠,16,0.22
18,15,0.21
환불해,15,0.21
이메일로,15,0.21
오류가,15,0.21
좋습니다,15,0.21
구매는,15,0.21
도착하는데,15,0.21
만족을,15,0.21
좋은데,15,0.21
배송되었고,15,0.21
말할,15,0.21
있기,15,0.21
제공됩니다,15,0.21
긴급하게,15,0.21
일은,15,0.21
맘에,15,0.21
광고한,15,0.21
단순히,15,0.21
바로,15,0.21
타르가르옌,15,0.21
최악의,15,0.21
절반만,15,0.21
추천하고,15,0.21
토너,15,0.21
물건이,15,0.21
하나도,15,0.21
파란색,15,0.21
배송되었지만,15,0.21
배송하는,15,0.21
우리가,15,0.21
신뢰할,15,0.21
후에,15,0.21
고객에게,15,0.21
갖고,15,0.21
매장과,15,0.21
해결되지,15,0.21
않았다고,15,0.21
기한,15,0.21
추적할,15,0.21
사진에,15,0.21
사진,15,0.21
설명과,15,0.21
낮습니다,15,0.21
광고와,15,0.21
별로,15,0.21
해결할,15,0.21
취소,15,0.21
주문했습니다,15,0.21
반품하려고,15,0.21
컨트롤,15,0.21
usb,15,0.21
샀습니다,15,0.21
했더니,15,0.21
청구서를,15,0.21
영업일,15,0.21
해결되기를,15,0.21
한다는,14,0.2
구성된,14,0.2
완전한,14,0.2
복귀를,14,0.2
않았을,14,0.2
매장에서도,14,0.2
3개가,14,0.2
제품에는,14,0.2
보내는,14,0.2
와서,14,0.2
상점에서,14,0.2
lannister는,14,0.2
그렇게,14,0.2
사이트에서,14,0.2
30일이,14,0.2
취소가,14,0.2
있었지만,14,0.2
크기가,14,0.2
날짜가,14,0.2
급히,14,0.2
케이블을,14,0.2
유리,14,0.2
배송됐고,14,0.2
품목이,14,0.2
기준,14,0.2
얇은,14,0.2
우체국을,14,0.2
끔찍해요,14,0.2
않겠습니다,14,0.2
부족한,14,0.2
사진이,14,0.2
화가,14,0.2
불완전한,14,0.2
흰색,14,0.2
웹사이트의,14,0.2
환불이,14,0.2
작동이,14,0.2
열어보니,14,0.2
즉시,14,0.2
주었습니다,14,0.2
받아야,13,0.18
카드,13,0.18
일도,13,0.18
발생했습니다,13,0.18
전화했는데,13,0.18
빠졌네요,13,0.18
취소하려고,13,0.18
교환이나,13,0.18
배달되지,13,0.18
배송왔어요,13,0.18
결제를,13,0.18
호환되지,13,0.18
안됐어요,13,0.18
날짜에,13,0.18
배송기한이,13,0.18
처음,13,0.18
됩니다,13,0.18
사진을,13,0.18
구매하는데,13,0.18
com,13,0.18
설명도,13,0.18
운송,13,0.18
브랜드의,13,0.18
싶어,13,0.18
배송완료로,13,0.18
잘못되어,13,0.18
환불,13,0.18
잉크,13,0.18
전화로,13,0.18
선택한,13,0.18
흔적이,13,0.18
48시간,13,0.18
회사를,13,0.18
제품이나,13,0.18
블랙,13,0.18
매장은,13,0.18
실제로는,13,0.18
이에,13,0.18
오후에요,13,0.18
주세요,13,0.18
부족,13,0.18
장치,13,0.18
있을,13,0.18
러그,13,0.18
합니까,13,0.18
걸리네요,13,0.18
라니스터에서,13,0.18
모델,13,0.18
찢어진,13,0.18
최대한,13,0.18
비해,13,0.18
요청하는,13,0.18
보냈으나,13,0.18
프린터에서,13,0.18
후에도,13,0.18
또는,13,0.18
이후,12,0.17
경우에는,12,0.17
상황이,12,0.17
싶지,12,0.17
지연되고,12,0.17
회사,12,0.17
웹사이트에서는,12,0.17
사진은,12,0.17
한개만,12,0.17
한다고,12,0.17
필름을,12,0.17
향수,12,0.17
회사로부터,12,0.17
할부금을,12,0.17
교환할,12,0.17
향수를,12,0.17
안되어,12,0.17
드릴,12,0.17
켜지지,12,0.17
색상은,12,0.17
홈페이지,12,0.17
사람에게,12,0.17
안되고,12,0.17
것인지,12,0.17
때까지,12,0.17
갔는데,12,0.17
적은,12,0.17
2일,12,0.17
배송되었는데,12,0.17
지나도,12,0.17
단위가,12,0.17
이전에,12,0.17
없어졌어요,12,0.17
낮고,12,0.17
나왔습니다,12,0.17
바라테온에서,12,0.17
지난,12,0.17
정보도,12,0.17
빨간색,12,0.17
도착,12,0.17
예정이었는데,12,0.17
다르며,12,0.17
배송일은,12,0.17
배송했습니다,12,0.17
이러한,12,0.17
원하지,12,0.17
11월,12,0.17
유형의,12,0.17
제품인,12,0.17
요청이,12,0.17
패키지를,12,0.17
상황을,12,0.17
가격에,12,0.17
배터리,12,0.17
왔지만,12,0.17
없으면,12,0.17
줬어요,12,0.17
부품,12,0.17
전화도,12,0.17
xl,12,0.17
교환하려고,12,0.17
품목을,12,0.17
제기했지만,11,0.15
targaryen은,11,0.15
배송되어,11,0.15
취소했습니다,11,0.15
스타크에게,11,0.15
지연된,11,0.15
직원이,11,0.15
쓰레기,11,0.15
형편없습니다,11,0.15
긴급히,11,0.15
구매했어요,11,0.15
색상을,11,0.15
나를,11,0.15
찾으러,11,0.15
가야,11,0.15
스타크,11,0.15
사실,11,0.15
상품입니다,11,0.15
취하겠습니다,11,0.15
상품만,11,0.15
뚜껑이,11,0.15
얇고,11,0.15
어느,11,0.15
08,11,0.15
결제했습니다,11,0.15
추천할,11,0.15
걸려서,11,0.15
보였습니다,11,0.15
당신은,11,0.15
걸렸어요,11,0.15
있습니까,11,0.15
베이스가,11,0.15
메모에는,11,0.15
포장에,11,0.15
파트너가,11,0.15
점이,11,0.15
검은색,11,0.15
우체국으로,11,0.15
예정되어,11,0.15
1개와,11,0.15
브랜드가,11,0.15
메모에,11,0.15
전화해서,11,0.15
긴급,11,0.15
누가,11,0.15
안왔네요,11,0.15
커버는,11,0.15
그게,11,0.15
청구서가,11,0.15
사용한,11,0.15
항목이,11,0.15
냄새가,11,0.15
조각이,11,0.15
펜던트를,11,0.15
하나의,11,0.15
받았는지,11,0.15
품질은,11,0.15
정도,11,0.15
같지,11,0.15
사항에,11,0.15
늦었습니다,11,0.15
알리는,11,0.15
지불했고,11,0.15
해결하지,11,0.15
배송해,11,0.15
2개와,11,0.15
품질도,11,0.15
샹들리에,11,0.15
색상과,11,0.15
반품할,11,0.15
책을,11,0.15
베개,11,0.15
선물을,11,0.15
매일,11,0.15
것에,11,0.15
필름,11,0.15
같은데,11,0.15
얻지,11,0.15
필요해서,11,0.15
3일,11,0.15
지연되어,11,0.15
대해서는,11,0.15
일부가,11,0.15
지연되었습니다,11,0.15
위에,11,0.15
매트리스,10,0.14
오래된,10,0.14
의자가,10,0.14
50,10,0.14
색상,10,0.14
불만이,10,0.14
달랐습니다,10,0.14
더욱,10,0.14
만에,10,0.14
불행히도,10,0.14
했으나,10,0.14
준수하지,10,0.14
송장도,10,0.14
주문과,10,0.14
필름은,10,0.14
대화할,10,0.14
놀랍게도,10,0.14
결제하고,10,0.14
안내를,10,0.14
회사가,10,0.14
부족해서,10,0.14
찾아야,10,0.14
됐어요,10,0.14
마십시오,10,0.14
않았으므로,10,0.14
돈이,10,0.14
러그를,10,0.14
5개를,10,0.14
우편,10,0.14
불만족스럽다,10,0.14
세트가,10,0.14
번째로,10,0.14
또한,10,0.14
관심을,10,0.14
만든,10,0.14
제품인데,10,0.14
판매자는,10,0.14
부정적인,10,0.14
저에게,10,0.14
있었어요,10,0.14
충전기를,10,0.14
대금을,10,0.14
약하고,10,0.14
어려움을,10,0.14
2개에,10,0.14
부탁드립니다,10,0.14
것이라는,10,0.14
배송기간이,10,0.14
비용이,10,0.14
늦어지고,10,0.14
보낼,10,0.14
상당의,10,0.14
토너를,10,0.14
먼저,10,0.14
뭔가,10,0.14
26일,10,0.14
테이블을,10,0.14
안녕히,10,0.14
주무세요,10,0.14
결제,10,0.14
되었는데,10,0.14
팔찌가,10,0.14
새로운,10,0.14
케이블,10,0.14
엄청,10,0.14
말을,10,0.14
많습니다,10,0.14
장치를,10,0.14
일주일,10,0.14
늦어서,10,0.14
걸릴,10,0.14
실제,10,0.14
붙어,10,0.14
제품만,10,0.14
환불하고,10,0.14
제때,10,0.14
자리를,10,0.14
유일한,10,0.14
컨트롤을,10,0.14
헌신이,10,0.14
만료되었습니다,10,0.14
뿐입니다,10,0.14
통화할,10,0.14
끔찍하고,10,0.14
lannister가,10,0.14
묻는,10,0.14
홈페이지를,10,0.14
19일,10,0.14
받았을,10,0.14
상품도,10,0.14
반품하겠습니다,10,0.14
불만족,10,0.14
stark,10,0.14
방금,10,0.14
15,10,0.14
판매하는,10,0.14
구매했고,10,0.14
발생하지,10,0.14
파손되었습니다,10,0.14
빠른,10,0.14
라니스터는,10,0.14
부끄러운,10,0.14
내용이,10,0.14
유통기한이,10,0.14
판매자로부터,10,0.14
라니스터에게,10,0.14
확인,10,0.14
비슷한,10,0.14
겪고,10,0.14
공급업체로부터,10,0.14
별도로,10,0.14
회사에서는,10,0.14
가위,10,0.14
전체를,10,0.14
남았습니다,10,0.14
모르겠네요,10,0.14
케이스를,10,0.14
원하는,10,0.14
피드백을,10,0.14
되는지,10,0.14
않았다는,10,0.14
광고에서,10,0.14
지연됩니다,10,0.14
당일,10,0.14
인형,10,0.14
배터리를,10,0.14
배송되기를,10,0.14
수가,10,0.14
하나에,10,0.14
뜨는데,10,0.14
이후로,10,0.14
기재되어,10,0.14
뿐만,9,0.13
공급업체의,9,0.13
못함,9,0.13
05,9,0.13
해결해야,9,0.13
안됐는데,9,0.13
존경심이,9,0.13
도착했다는,9,0.13
도착할지,9,0.13
플라스틱으로,9,0.13
나쁩니다,9,0.13
요청드립니다,9,0.13
듭니다,9,0.13
하기,9,0.13
하며,9,0.13
미리,9,0.13
집까지,9,0.13
미국,9,0.13
20,9,0.13
생일,9,0.13
알려주는,9,0.13
나사,9,0.13
18년,9,0.13
일반,9,0.13
같고,9,0.13
되네요,9,0.13
배송비도,9,0.13
알려드립니다,9,0.13
생각했습니다,9,0.13
따로,9,0.13
한달,9,0.13
소식이,9,0.13
우체국이,9,0.13
않는다는,9,0.13
lg,9,0.13
얼마나,9,0.13
해결하는,9,0.13
검정,9,0.13
예상대로,9,0.13
사용하지,9,0.13
리뷰를,9,0.13
프린터,9,0.13
주문의,9,0.13
불법,9,0.13
간단한,9,0.13
10월,9,0.13
사이즈,9,0.13
받지도,9,0.13
받는,9,0.13
소비자,9,0.13
작습니다,9,0.13
떨어지는,9,0.13
나오지,9,0.13
인식하지,9,0.13
17년,9,0.13
색상의,9,0.13
우체국에서는,9,0.13
마치,9,0.13
이전,9,0.13
누구와도,9,0.13
가게가,9,0.13
날짜는,9,0.13
당신에게,9,0.13
동시에,9,0.13
절대,9,0.13
스타크는,9,0.13
인쇄가,9,0.13
기다려야,9,0.13
재고가,9,0.13
송장과,9,0.13
연락했지만,9,0.13
오랫동안,9,0.13
금액의,9,0.13
배터리가,9,0.13
도움이,9,0.13
못해,9,0.13
결정했습니다,9,0.13
문제도,9,0.13
3개의,9,0.13
제품보다,9,0.13
추적에,9,0.13
맞는,9,0.13
깨졌습니다,9,0.13
않도록,9,0.13
주문했어요,9,0.13
구입했지만,9,0.13
80,9,0.13
왜냐하면,9,0.13
추천합니다,9,0.13
맞춰,9,0.13
사서,9,0.13
나쁘고,9,0.13
각각,9,0.13
이전에는,9,0.13
포장도,9,0.13
관심이,9,0.13
도움을,9,0.13
업데이트가,9,0.13
사진에는,9,0.13
고무줄이,9,0.13
포장되지,9,0.13
호환되는,9,0.13
사이즈가,9,0.13
신용카드로,9,0.13
자동차,9,0.13
가격을,9,0.13
20일이,9,0.13
램프를,9,0.13
1개의,9,0.13
무엇을,9,0.13
알려주지,9,0.13
이름이,9,0.13
돌려주고,9,0.13
결과,9,0.13
요청에,9,0.13
미니,9,0.13
토너가,9,0.13
카드를,9,0.13
배송됨,9,0.13
가격은,9,0.13
서비스에,9,0.13
질문에,9,0.13
가방,9,0.13
이상이,9,0.13
찌그러져,9,0.13
이루어지지,9,0.13
기다린다,9,0.13
4개만,9,0.13
06,8,0.11
안녕하십니까,8,0.11
생각에는,8,0.11
작고,8,0.11
점을,8,0.11
절차를,8,0.11
바라테온,8,0.11
의자는,8,0.11
보여줍니다,8,0.11
관련하여,8,0.11
싶었습니다,8,0.11
오해의,8,0.11
소지가,8,0.11
쓰레기통에,8,0.11
요구합니다,8,0.11
법원에,8,0.11
이유로,8,0.11
나은,8,0.11
배송일로부터,8,0.11
그것을받지,8,0.11
이것이,8,0.11
여기,8,0.11
나무,8,0.11
이메일이,8,0.11
제공하는,8,0.11
모르겠어요,8,0.11
제공되는,8,0.11
